Source: http://www.governing.com/gov-data/safety-justice/police-officers-per-capita-rates-employment-for-city-departments.html,
,
Police Employment in 2015,
,
Agency,Officers per 10k
Plano,12.3
Chandler,13.3
Santa Ana,9
Toledo,22.5
